Tally_Chars,289340845,193198271,108455308,139569041,125388129,86002391,62028284,65261048,77207223,158290112,77896466,98777804,149060877,116782311,79207761,99247815,69442994,54918257,49662867,57074327,63371597,56769133,50350572,65938171,94448891,62684706,70318845,58872493,87563012,52123814,50376951,51194085,50786350,51759792,51250460,50466831,59773120,58251305,50638413,52209988,51814397,50308808,49386450,49001430,49996304,49414529,58850142,56603821,49692694,51228544
Tally_Chars_Custom_1,74401779,54223713,48799938,50962472,53416814,59521553,50612060,49404186,47226089,47706661,48168748,47397802,48261938,48419016,48098872,59225984,53692917,47995026,46669285,49998210,48745801,48405525,49194327,48644212,49329224,62259402,51857035,47877003,47770721,48729757,48074939,49323527,47743497,49225899,48249593,61928559,50542988,47679157,48058556,49298757,48437228,47276278,47769584,49428739,48662999,59645521,55567540,47215176,47933294,48019869
Tally_Chars_Custom_2,64283428,38983320,28766893,29432161,28124096,28714745,27953510,33213643,32030089,35201075,28571684,28040562,29947325,31656746,27607099,28614194,27555087,27816136,28379766,27374779,28663295,27804324,28786668,40943537,41229634,33783840,29320202,28626897,28368008,28023707,28148673,27536940,29769136,30629455,28237682,28614124,28384130,28752420,27830877,27329583,28375571,33569350,34190806,31670383,27790538,27850378,28244162,27611990,29209809,27617340
Tally_Chars_Custom_3,53715598,33539976,25451832,24885887,29139733,24963398,24675554,33183707,31881301,29380465,24756966,26004274,24195956,24880202,24895289,24090822,24267160,25432037,23927700,24787014,23774650,25052581,24532633,24723317,25017323,24583907,24831146,29923080,30131660,27895264,24882285,25094786,24473463,23945974,24177004,24317916,24136977,24752103,24085973,23794292,24225668,24826627,24212879,24277523,24099542,24506282,23780978,26153549,31453455,26731306
